DateTime,TimeEpoch,Temperature,Humidity,xaccelaration,yaccelaration,zaccelaration
2021/10/01 20:41:32,1633092092.0509045,,,0.01,0.0,0.0
2021/10/01 20:41:32,1633092092.1509047,,,0.01,0.0,0.01
2021/10/01 20:41:32,1633092092.2514577,,,-0.01,0.01,0.0
2021/10/01 20:41:32,1633092092.3506486,,,0.01,0.26,0.01
2021/10/01 20:41:32,1633092092.4506483,,,0.02,0.01,0.01
2021/10/01 20:41:32,1633092092.550648,,,0.01,0.01,0.0
2021/10/01 20:41:32,1633092092.650647,,,0.02,0.01,0.01
2021/10/01 20:41:32,1633092092.7506514,,,0.01,0.01,0.01
2021/10/01 20:41:32,1633092092.8506494,,,0.05,0.02,0.02
2021/10/01 20:41:32,1633092092.9506485,,,0.01,0.01,0.01
2021/10/01 20:41:33,1633092093.05065,,,0.01,0.01,0.01
2021/10/01 20:41:33,1633092093.150649,,,0.01,0.0,0.0
2021/10/01 20:41:33,1633092093.2506473,,,0.02,0.02,0.01
2021/10/01 20:41:33,1633092093.3506486,,,0.01,0.01,0.0
2021/10/01 20:41:33,1633092093.4506485,,,-0.01,0.01,0.02
2021/10/01 20:41:33,1633092093.5506473,,,0.02,-0.07,0.02
2021/10/01 20:41:33,1633092093.650648,,,0.01,-0.05,0.01
2021/10/01 20:41:33,1633092093.7506502,,,0.01,0.0,0.0
2021/10/01 20:41:33,1633092093.850648,,,0.01,0.0,0.01
2021/10/01 20:41:33,1633092093.9506488,,,0.01,0.01,0.01
2021/10/01 20:41:34,1633092094.0506506,,,0.01,0.0,-0.01
2021/10/01 20:41:34,1633092094.1506486,,,0.0,-0.02,0.01
2021/10/01 20:41:34,1633092094.2506478,,,0.01,0.01,0.01
2021/10/01 20:41:34,1633092094.3505177,,,0.01,0.0,-0.0
2021/10/01 20:41:34,1633092094.4505157,,,0.02,0.01,0.02
2021/10/01 20:41:34,1633092094.5505161,,,0.01,0.01,0.01
2021/10/01 20:41:34,1633092094.6505184,,,0.0,0.04,0.01
2021/10/01 20:41:34,1633092094.7505162,,,0.01,0.01,0.01
2021/10/01 20:41:34,1633092094.8506079,,,0.01,0.01,0.01
2021/10/01 20:41:34,1633092094.950319,,,-0.01,0.0,0.0
2021/10/01 20:41:35,1633092095.0503213,,,0.01,0.01,0.0
2021/10/01 20:43:07,1633092187.4161437,,,0.0,0.0,0.1
2021/10/01 20:43:07,1633092187.5161426,,,0.0,0.01,0.0
2021/10/01 20:43:07,1633092187.6151412,,,0.0,0.01,0.01
2021/10/01 20:43:07,1633092187.7151396,,,-0.0,0.01,0.0
2021/10/01 20:43:07,1633092187.8153007,,,-0.0,0.01,0.0
2021/10/01 20:43:07,1633092187.9153452,,,0.0,0.01,-0.0
2021/10/01 20:43:08,1633092188.0163193,,,0.0,-0.02,-0.01
2021/10/01 20:43:08,1633092188.1163173,,,0.0,0.0,0.01
2021/10/01 20:43:08,1633092188.2163126,,,0.0,0.02,0.01
2021/10/01 20:43:08,1633092188.3153114,,,0.0,0.0,0.0
2021/10/01 20:43:08,1633092188.4156764,,,0.0,0.0,0.0
2021/10/01 20:43:08,1633092188.51568,,,0.0,0.18,0.0
2021/10/01 20:43:08,1633092188.6156805,,,0.0,0.01,-0.0
2021/10/01 20:43:08,1633092188.71568,,,0.0,0.02,0.01
2021/10/01 20:43:08,1633092188.8161528,,,-0.0,0.0,-0.0
2021/10/01 20:43:08,1633092188.9157534,,,0.01,-0.0,0.01
2021/10/01 20:43:09,1633092189.0157602,,,0.0,0.0,-0.0
2021/10/01 20:43:09,1633092189.115753,,,0.0,0.01,0.01
2021/10/01 20:43:09,1633092189.2157516,,,0.04,0.01,-0.03
2021/10/01 20:43:09,1633092189.3157556,30.30,63.30,0.01,0.01,-0.02
2021/10/01 20:43:09,1633092189.4157546,,,-0.01,0.0,-0.0
2021/10/01 20:43:09,1633092189.5157611,,,0.0,0.0,0.0
2021/10/01 20:43:09,1633092189.615754,,,0.0,0.01,0.0
2021/10/01 20:43:09,1633092189.7157536,,,-0.06,0.01,0.0
2021/10/01 20:43:09,1633092189.815755,,,0.22,0.0,0.14
2021/10/01 20:43:09,1633092189.917417,,,-0.0,0.01,0.01
2021/10/01 20:43:10,1633092190.0173998,,,0.0,0.01,-0.01
2021/10/01 20:43:10,1633092190.1163979,,,0.0,0.0,0.0
2021/10/01 20:43:10,1633092190.2164123,,,0.01,0.01,0.0
2021/10/01 20:43:10,1633092190.316409,,,-0.0,0.02,0.0
2021/10/01 20:43:10,1633092190.4163978,,,-0.07,0.0,-0.0
2021/10/01 20:43:10,1633092190.5164087,,,0.01,0.0,0.0
2021/10/01 20:43:10,1633092190.616399,,,-0.0,-0.0,-0.0
2021/10/01 20:43:10,1633092190.7153974,,,0.0,0.0,-0.0
2021/10/01 20:43:10,1633092190.8153958,,,-0.0,0.0,-0.0
2021/10/01 20:43:10,1633092190.915496,,,-0.01,0.0,-0.0
2021/10/01 20:43:11,1633092191.0185091,,,0.03,0.01,-0.0
2021/10/01 20:43:11,1633092191.1165173,,,0.0,-0.01,-0.01
2021/10/01 20:43:11,1633092191.216518,,,0.0,-0.03,0.01
2021/10/01 20:43:11,1633092191.3164978,,,0.0,0.01,0.01
2021/10/01 20:43:11,1633092191.4164984,,,-0.01,0.01,0.0
2021/10/01 20:43:11,1633092191.5165114,,,-0.13,-0.0,-0.0
2021/10/01 20:43:11,1633092191.6165097,,,-0.0,-0.01,-0.0
2021/10/01 20:43:11,1633092191.7164974,,,-0.0,-0.0,-0.4
2021/10/01 20:43:11,1633092191.816511,,,0.0,-0.05,-0.0
2021/10/01 20:43:11,1633092191.9155035,,,-0.0,0.0,0.03
2021/10/01 20:43:12,1633092192.0154974,,,-0.0,0.01,-0.0
2021/10/01 20:43:12,1633092192.1155543,,,-0.0,0.0,0.0
2021/10/01 20:43:12,1633092192.2165525,,,0.0,0.01,0.01
2021/10/01 20:43:12,1633092192.317571,,,-0.02,0.01,0.0
2021/10/01 20:43:12,1633092192.4155478,,,0.0,-0.24,-0.0
2021/10/01 20:43:12,1633092192.5155492,,,-0.0,0.0,-0.04
2021/10/01 20:43:12,1633092192.6155481,,,-0.0,0.0,0.01
2021/10/01 20:43:12,1633092192.715547,,,-0.0,0.01,0.01
2021/10/01 20:43:12,1633092192.815549,,,0.0,0.0,0.11
2021/10/01 20:43:12,1633092192.917867,,,-0.0,0.02,0.01
2021/10/01 20:43:13,1633092193.0208628,,,0.0,-0.25,-0.0
2021/10/01 20:43:13,1633092193.1158602,,,0.0,0.01,0.01
2021/10/01 20:43:13,1633092193.248864,,,0.0,0.12,0.01
2021/10/01 20:43:13,1633092193.3268614,30.20,63.30,-0.21,0.01,0.01
2021/10/01 20:43:13,1633092193.4568627,,,-0.0,0.01,0.0
2021/10/01 20:43:13,1633092193.5520167,,,-0.03,0.01,-0.0
2021/10/01 20:43:13,1633092193.6222825,,,-0.0,0.01,0.0
2021/10/01 20:43:13,1633092193.7299912,,,-0.0,0.0,-0.02
2021/10/01 20:43:13,1633092193.8229866,,,-0.01,-0.0,0.01
2021/10/01 20:43:13,1633092193.9169934,,,0.0,0.0,0.0
2021/10/01 20:43:14,1633092194.016989,,,-0.01,-0.05,-0.0
2021/10/01 20:43:14,1633092194.117,,,0.0,0.01,0.0
2021/10/01 20:43:14,1633092194.217008,,,0.01,0.02,0.1
2021/10/01 20:43:14,1633092194.3170166,,,-0.0,0.01,0.01
2021/10/01 20:43:14,1633092194.416011,,,0.0,0.01,-0.0
2021/10/01 20:43:14,1633092194.518003,,,-0.01,0.01,0.01
2021/10/01 20:43:14,1633092194.6169891,,,0.01,0.0,0.0
2021/10/01 20:43:14,1633092194.7279885,,,0.02,0.01,-0.0
2021/10/01 20:43:14,1633092194.8159893,,,-0.0,0.02,0.01
2021/10/01 20:43:14,1633092194.9152868,,,-0.0,0.01,-0.0
2021/10/01 20:43:15,1633092195.0152874,,,-0.0,0.01,0.0
2021/10/01 20:43:15,1633092195.1152868,,,0.0,0.0,0.0
2021/10/01 20:43:15,1633092195.21529,,,0.0,0.01,-0.14
2021/10/01 20:43:15,1633092195.316288,30.30,63.30,0.0,0.19,0.01
2021/10/01 20:43:15,1633092195.4172933,,,0.01,0.0,0.01
2021/10/01 20:43:15,1633092195.5162895,,,-0.0,0.0,0.0
2021/10/01 20:43:15,1633092195.6152906,,,0.0,0.01,0.0
2021/10/01 20:43:15,1633092195.7172887,,,0.01,0.0,-0.01
2021/10/01 20:43:15,1633092195.8162875,,,0.0,0.0,-0.0
2021/10/01 20:43:15,1633092195.9152894,,,0.0,0.0,0.0
2021/10/01 20:43:16,1633092196.0152898,,,-0.0,0.1,-0.0
2021/10/01 20:43:16,1633092196.1152866,,,0.0,0.0,0.1
2021/10/01 20:43:16,1633092196.2152882,,,0.0,0.03,0.0
2021/10/01 20:43:16,1633092196.3162904,,,0.01,0.06,0.0
2021/10/01 20:43:16,1633092196.4162867,,,-0.0,0.0,0.0
2021/10/01 20:43:16,1633092196.5163026,,,-0.01,-0.0,0.0
2021/10/01 20:43:16,1633092196.616288,,,-0.0,0.01,0.01
2021/10/01 20:43:16,1633092196.7172878,,,-0.0,0.01,-0.0
2021/10/01 20:43:16,1633092196.818308,,,-0.0,0.01,0.01
2021/10/01 20:43:16,1633092196.934182,,,-0.0,0.01,-0.0
2021/10/01 20:43:17,1633092197.015182,,,0.0,0.0,0.01
2021/10/01 20:43:17,1633092197.11518,,,-0.01,0.01,-0.01
2021/10/01 20:43:17,1633092197.2151806,,,0.0,0.03,0.0
2021/10/01 20:43:17,1633092197.3151865,30.30,63.40,0.0,0.01,-0.08
2021/10/01 20:43:17,1633092197.4152184,,,0.0,0.0,0.0
2021/10/01 20:43:17,1633092197.5161846,,,-0.01,0.01,0.01
2021/10/01 20:43:17,1633092197.6161828,,,-0.03,0.0,0.0
2021/10/01 20:43:17,1633092197.7151818,,,-0.0,-0.01,0.0
2021/10/01 20:43:17,1633092197.816193,,,-0.0,0.18,0.0
2021/10/01 20:43:17,1633092197.9151824,,,0.0,0.01,0.01
2021/10/01 20:43:18,1633092198.0161846,,,0.0,0.01,0.0
2021/10/01 20:43:18,1633092198.1162186,,,-0.0,0.0,-0.0
2021/10/01 20:43:18,1633092198.2151833,,,0.0,0.0,0.01
2021/10/01 20:43:18,1633092198.3161833,,,0.0,-0.06,-0.04
2021/10/01 20:43:18,1633092198.4161835,,,-0.0,-0.14,0.0
2021/10/01 20:43:18,1633092198.5151813,,,0.0,0.01,0.0
2021/10/01 20:43:18,1633092198.617185,,,-0.0,-0.0,-0.0
2021/10/01 20:43:18,1633092198.7166295,,,-0.01,0.01,-0.0
2021/10/01 20:43:18,1633092198.8166459,,,0.01,0.0,0.0
2021/10/01 20:43:18,1633092198.9169335,,,-0.0,0.0,-0.0
2021/10/01 20:43:19,1633092199.0159318,,,0.0,-0.07,0.0
2021/10/01 20:43:19,1633092199.116931,,,0.0,0.04,0.0
2021/10/01 20:43:19,1633092199.2179306,,,-0.01,0.01,0.01
2021/10/01 20:43:19,1633092199.3229296,,,0.01,0.01,0.0
2021/10/01 20:43:19,1633092199.41593,,,-0.0,0.01,0.0
2021/10/01 20:43:19,1633092199.5159302,,,0.01,0.01,-0.0
2021/10/01 20:43:19,1633092199.615931,,,0.02,-0.07,-0.0
2021/10/01 20:43:19,1633092199.7159317,,,0.0,0.01,0.0
2021/10/01 20:43:19,1633092199.815931,,,0.0,0.01,0.01
2021/10/01 20:43:19,1633092199.9159317,,,0.01,0.0,0.01
2021/10/01 20:43:20,1633092200.0159302,,,0.0,0.01,-0.0
2021/10/01 20:43:20,1633092200.1159332,,,0.0,0.0,0.0
2021/10/01 20:43:20,1633092200.2159297,,,-0.02,0.18,0.01
2021/10/01 20:43:20,1633092200.3159313,,,-0.0,0.01,-0.0
2021/10/01 20:43:20,1633092200.415933,,,0.0,0.0,0.0
2021/10/01 20:43:20,1633092200.5159318,,,-0.01,0.01,0.0
2021/10/01 20:43:20,1633092200.6159303,,,-0.0,0.01,0.0
2021/10/01 20:43:20,1633092200.7159312,,,-0.0,0.0,0.0
2021/10/01 20:43:20,1633092200.8159301,,,0.0,0.0,-0.0
2021/10/01 20:43:20,1633092200.9151108,,,0.0,0.0,0.07
2021/10/01 20:43:21,1633092201.0161014,,,0.13,0.01,-0.0
2021/10/01 20:43:21,1633092201.165108,,,-0.0,0.0,0.01
2021/10/01 20:43:21,1633092201.2171013,,,0.01,0.01,0.01
2021/10/01 20:43:21,1633092201.3171015,30.20,63.30,0.0,0.18,0.01
2021/10/01 20:43:21,1633092201.4161003,,,0.01,0.0,0.0
2021/10/01 20:43:21,1633092201.5161018,,,0.0,0.01,0.0
2021/10/01 20:43:21,1633092201.6151004,,,0.0,0.0,0.01
2021/10/01 20:43:21,1633092201.715103,,,0.0,0.01,0.0
2021/10/01 20:43:21,1633092201.8171036,,,-0.0,0.01,0.01
2021/10/01 20:43:21,1633092201.9161,,,0.0,0.06,0.0
2021/10/01 20:43:22,1633092202.0161016,,,-0.0,0.0,-0.0
2021/10/01 20:43:22,1633092202.1161013,,,0.0,-0.0,0.0
2021/10/01 20:43:22,1633092202.2161,,,0.0,-0.04,-0.01
2021/10/01 20:43:22,1633092202.3160994,,,0.0,0.01,-0.0
2021/10/01 20:43:22,1633092202.4160988,,,-0.01,0.01,-0.0
2021/10/01 20:43:22,1633092202.5160992,,,0.0,0.0,0.0
2021/10/01 20:43:22,1633092202.6160998,,,-0.02,0.0,0.0
2021/10/01 20:43:22,1633092202.7150981,,,0.0,0.01,-0.0
2021/10/01 20:43:22,1633092202.815101,,,-0.0,0.0,0.0
2021/10/01 20:43:22,1633092202.915309,,,-0.0,0.0,0.0
2021/10/01 20:43:23,1633092203.0153098,,,0.09,0.01,0.03
2021/10/01 20:43:23,1633092203.1153092,,,0.03,0.01,-0.0
2021/10/01 20:43:23,1633092203.2153103,,,0.02,0.01,0.01
2021/10/01 20:43:23,1633092203.3153105,30.30,63.30,0.01,0.01,0.01
2021/10/01 20:43:23,1633092203.415311,,,-0.0,0.01,0.01
2021/10/01 20:43:23,1633092203.5173116,,,-0.0,0.0,0.0
2021/10/01 20:43:23,1633092203.6153128,,,0.0,0.01,0.0
2021/10/01 20:43:23,1633092203.7153084,,,-0.01,0.01,0.0
2021/10/01 20:43:23,1633092203.8143494,,,0.05,0.01,0.0
2021/10/01 20:43:23,1633092203.915356,,,-0.0,-0.23,0.01
2021/10/01 20:43:24,1633092204.0153472,,,-0.0,0.01,-0.07
2021/10/01 20:43:24,1633092204.1153524,,,0.0,0.0,0.01
2021/10/01 20:43:24,1633092204.2153504,,,0.01,0.03,0.01
2021/10/01 20:43:24,1633092204.3153508,,,-0.0,0.0,0.0
2021/10/01 20:43:24,1633092204.4153633,,,0.28,0.0,0.0
2021/10/01 20:43:24,1633092204.5163546,,,0.0,-0.05,0.0
2021/10/01 20:43:24,1633092204.6163597,,,0.01,0.01,-0.06
2021/10/01 20:43:24,1633092204.7163858,,,-0.01,0.0,0.01
2021/10/01 20:43:24,1633092204.8153496,,,0.12,0.0,0.0
2021/10/01 20:43:24,1633092204.9154572,,,0.0,0.01,-0.01
2021/10/01 20:43:25,1633092205.0154796,,,0.0,0.01,0.01
2021/10/01 20:43:25,1633092205.1164908,,,0.0,-0.02,0.0
2021/10/01 20:43:25,1633092205.214453,,,0.0,0.01,0.01
2021/10/01 20:43:25,1633092205.3147607,30.30,63.40,0.0,0.01,0.01
2021/10/01 20:43:25,1633092205.4147592,,,0.0,0.0,0.01
